,,Metallaxis,Metallaxis,Metallaxis,Metallaxis,Metallaxis,MUSE,MUSE,MUSE,MUSE,MUSE
Sub.,Tech.,Top-1,Top-3,Top-5,MFR,MAR,Top-1,Top-3,Top-5,MFR,MAR
Chart,Major,1,6,10,8.92 ,11.02 ,1,6,10,12.60 ,14.04 
Chart,PIT,4,9,11,9.16 ,11.59 ,4,9,12,9.70 ,13.16 
Chart,DM,1,3,7,31.64 ,34.60 ,1,3,8,33.53 ,35.52 
Chart,LEAM,16,22,23,6.16 ,6.28 ,15,23,23,6.20 ,8.80 
Closure,Major,16,40,61,13.30 ,16.20 ,16,38,57,13.83 ,16.79 
Closure,PIT,24,54,79,8.41 ,11.54 ,24,53,76,9.27 ,11.73 
Closure,DM,-,-,-,-,-,-,-,-,-,-
Closure,LEAM,25,57,82,6.81 ,8.78 ,25,54,80,7.85 ,9.70 
Lang,Major,16,33,37,7.38 ,13.55 ,16,32,36,7.64 ,10.37 
Lang,PIT,29,44,53,3.84 ,14.60 ,25,40,49,6.27 ,11.08 
Lang,DM,9,15,35,15.05 ,25.75 ,8,14,32,17.38 ,27.67 
Lang,LEAM,42,58,60,2.64 ,4.19 ,42,57,60,2.66 ,4.50 
Math,Major,17,50,59,7.00 ,7.15 ,17,48,56,8.74 ,9.92 
Math,PIT,17,43,55,8.04 ,8.18 ,17,42,53,8.75 ,9.01 
Math,DM,7,25,52,7.54 ,9.83 ,8,32,49,9.34 ,10.12 
Math,LEAM,40,78,80,4.13 ,5.24 ,49,78,81,4.11 ,4.26 
Time,Major,1,3,8,14.92 ,17.95 ,1,3,9,14.96 ,18.09 
Time,PIT,6,6,9,11.58 ,12.93 ,6,6,10,11.88 ,13.61 
Time,DM,2,4,4,12.31 ,12.40 ,1,4,5,14.54 ,16.58 
Time,Our,20,24,25,2.50 ,2.56 ,20,23,25,2.56 ,2.62 
